Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
06/10/2020,"25-32 and 98 TANNER HALL, ATHY ROAD, CARLOW",,Carlow,"€1,830,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2013,"I Cabbage Lane, Bohermore",,Galway,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"CLONEEN, CRETTYARD, VIA CARLOW",,Kilkenny,"€63,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"22 COILLIN BUI, MOATE, WESTMEATH",,Westmeath,"€95,250.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/06/2018,"No. 1 Larch Close, Bloomfield, Annacotty",,Limerick,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/10/2015,"2 THE CLOSE, DUN EALA, FERMOY",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2013,"47  Saint Lappans Place, Little Island",,Cork,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/06/2020,"APT 3 CLONARD COURT, PODDEL PARK, KIMMAGE DUBLIN 12",Dublin 12,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2021,"30 MOUNT PROSPECT DRIVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€765,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2016,"10 THE MOORINGS, KELLYS BAY, SKERRIES",Dublin 20,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2018,"23 STEPHEN ST, KILKENNY",,Kilkenny,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"5 The Green, Castle Farm, Naas",,Kildare,"€290,748.90",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/08/2015,"PORRES, LINARO AVE, MAGAZINE RD",,Cork,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2010,"Gortacrissane, Listowel",,Kerry,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2014,"BAILE AN GHOILIN, AN DAINGEAN, KERRY",,Kerry,"€64,545.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/04/2010,"16 Marlfield Grove, Tallaght",,Dublin,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2019,"POLERAGH, KILNALECK, CO CAVAN",,Cavan,"€86,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2018,"60 PRIORY GATE, ATHBOY, MEATH",,Meath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2013,"20 Stameen Lawns, Drogheda, County Louth",,Louth,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2012,"No. 13 Cois Riasc, Bantry",,Cork,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2020,"78 O'RAHILLY'S VILLAS, TRALEE, CO KERRY",,Kerry,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2019,"71 GLENTOW RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2019,"10 BRIOT DR, TEMPLARS HALL, WATERFORD",,Waterford,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2021,"6 7 8 9 10 11 12 13 14 15 16, Castle Quay  Kilgobbin, BALLINADEE",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2015,"SLIEVE, DUNMORE, CO. GALWAY",,Galway,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2019,"86 Millquarter, Knockmullen, Gorey",,Wexford,"€290,000.00",No,Yes,New Dwelling house /Apartment,
14/12/2021,"CARROWREAGH, ELPHIN, CASTLEREA",,Roscommon,"€245,000.00",No,Yes,New Dwelling house /Apartment,
21/12/2016,"5 ARRAN QUAY, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2013,"26 ARD NA GREINE, BANTRY",,Cork,"€220,264.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/12/2010,"Apartment 410, Glenlara House, Mount Kennett Place Dock Road",,Limerick,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2011,"26 St Benildus Villas, Navan",,Meath,"€30,165.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/04/2014,"4 Alderwood, Hollystown, Dublin 15",Dublin 15,Dublin,"€299,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/09/2017,"117 BOROIMHE BEECH, SWORDS, DUBLIN",,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2010,"80 Springfort, Montenotte, Cork",,Cork,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2017,"CLOONSCOTT, MOYDOW, CO LONGFORD",,Longford,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2021,"KILCARRIG, BAGENALSTOWN, CARLOW",,Carlow,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2018,"27 ST ANNES PARK, TURNERS CROSS, CORK",,Cork,"€243,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2017,"KNOCKROE, GEEVAGH, CO SLIGO",,Sligo,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2015,"APT 311 PIER HEAD, ALLINS QUAY, YOUGHAL",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€565,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2015,"89 BARTON DR, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€431,250.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"100 Tarmon Manor, Castlerea, Co. Roscommon",,Roscommon,"€41,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/12/2018,"46 COLLEGE VALE, MULLINGAR, CO WESTMEATH",,Westmeath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2012,"50 Ashgrove, Kill Avenue, Dun Laoghaire",,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2020,"COLEHILL, KINNEGAD, MEATH",,Meath,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"73 Millers Court, Old Quarter, Ballincollig",,Cork,"€290,748.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/04/2015,"49 Woodford Court, Clondalkin, Dublin 22",Dublin 22,Dublin,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2012,"Ross, The Glens, Birr",,Offaly,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2017,"204 ST HELENS BAY, KILRANE, ROSSLARE HARBOUR",,Wexford,"€99,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2021,"79 ROCKFIELD MANOR, HOEYS LANE, DUNDALK",,Louth,"€171,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2012,"7 Dr. Mannix Road, Salthill",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2018,"APT 1, CHURCH ST, CLOYNE",,Cork,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2018,"UNIT 3A  DWARF OAKS (APT), CHURCH RD, BALLYBRACK",Dublin 15,Dublin,"€177,138.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2013,"8 THE COURT, ROBSWALLS, MALAHIDE",,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2010,"Newtown Lane, Falcarragh",,Donegal,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2010,"Deanhill, Hayes, Navan",,Meath,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2018,"202 Caislean na hAbhainn, Castletroy",,Limerick,"€228,193.83",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/12/2019,"11 THE SQUARE, ANNACOTTY, LIMERICK",,Limerick,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2021,"2 MALONE PLACE, ATHY, KILDARE",,Kildare,"€80,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/08/2011,"The Bungalow, Ballysimon Road, Limerick",,Limerick,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2016,"15 ABHAINN GLAS, TINNYNAR, EDGEWORTHSTOWN",,Longford,"€21,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/10/2014,"33 CASTLEPARK, CAHERCONLISH, LIMERICK",,Limerick,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2018,"12 WOODVILLE, LEITRIM VILLAGE, LEITRIM",,Leitrim,"€143,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2018,"EDORAS, RED BOG, TINAHELY",,Wicklow,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2010,"Cloonlara South, Glenamaddy",,Galway,"€76,338.47",No,No,Second-Hand Dwelling house /Apartment,
28/08/2015,"21 STRANDHILL, CLOGHERHEAD, DROGHEDA",,Louth,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/11/2018,"COOLGUERISK, KNOCKRAHA, CORK",,Cork,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"BALLYSKERDANE, CARRIGNAVAR, CORK",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2018,"10 THE FORGE, LOWER MAIN ST, RUSH",,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2012,"10 court cairn, model farm road, cork",,Cork,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"73 CRENIGANS BANOG, MILLTOWN ROAD, ASHBOURNE",,Meath,"€295,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/08/2010,"42  Riasc na Ri, Bothar Stiofan, Galway",,Galway,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2014,"6 BERWICK HOUSE, COLIEMORE RD, DALKEY",,Dublin,"€499,950.00",No,No,Second-Hand Dwelling house /Apartment,
23/02/2018,"DUNDRUDIAN, PORTNABLAGH, DUNFANAGHY",,Donegal,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2016,"GARDEN HILL, BALLYSHEEDY, LIMERICK",,Limerick,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/04/2012,"123 Castleknock Elms, Castleknock, Dublin 15",,Dublin,"€185,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2012,"6 Priory Rise, Delgany",,Wicklow,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/01/2011,"13 Countess Grove, Killarney",,Kerry,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2021,"10 Droim An Oir, Dromin Road, Nenagh",,Tipperary,"€255,000.00",No,Yes,New Dwelling house /Apartment,
06/11/2017,"28 HILLCROFT, ST PATRICKS RD, LIMERICK",,Limerick,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"66 BUSHY PARK RD, TERENURE, DUBLIN 6",Dublin 6,Dublin,"€950,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/03/2016,"CARNA, ARDTONA AVE, CHURCHTOWN RD LOWER",Dublin 14,Dublin,"€680,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"50 THE FORUM, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,"€367,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2016,"55 MOYGLARE VILLAGE, MAYNOOTH, KILDARE",,Kildare,"€262,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
01/05/2015,"7 DOYLE RD, TURNERS CROSS, CORK",,Cork,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"11 WELLINGTON ST, WATERFORD, WATERFORD",,Waterford,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2017,"17 COIS FARRAIGE, BLACKROCK, DUNDALK",,Louth,"€101,321.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2012,"40 Glentaun Close, Ballinasloe",,Galway,"€90,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2013,"20 VERNON COURT, CLONTARF DUBLIN 3, DUBLIN",,Dublin,"€115,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"1 SYDNEY PARADE AVE, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€1,380,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2013,"102 Meadowbrook, Mill Road, Corbally",,Limerick,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2021,"12 The Village Green, The Spa",,Kerry,"€413,719.00",No,Yes,New Dwelling house /Apartment,
06/10/2011,"41 Block E3 Ennis House, Clare Village, Clare Hall",,Dublin,"€159,746.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/03/2015,"18 Barretstown Meadows, Roseberry, Newbridge",,Kildare,"€343,612.33",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
29/05/2019,"27 Fenton Green, Church Street, Kilcock",,Kildare,"€311,013.22",No,Yes,New Dwelling house /Apartment,
03/11/2017,"10 FITZPATRICKS, COTTAGES, DUBLIN",,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/08/2013,"8 Manor Lawn, Grange Manor, Ovens",,Cork,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/08/2019,"1 Somerton mews, Newcastle Road, Lucan",,Dublin,"€440,529.00",No,Yes,New Dwelling house /Apartment,
08/12/2020,"17 Rathborne Mews, Rathborne, Ashtown",,Dublin,"€361,223.00",No,Yes,New Dwelling house /Apartment,
23/07/2010,"16 Friar's Lough, Leighlinbridge",,Carlow,"€210,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/10/2010,"36 Woodfield, Ballynote West, KIlrush",,Clare,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2018,"43 ST PATRICKS RD, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€462,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2021,"12 SPRINGFIELD GROVE, ROSSMORE VILLAGE, TIPPERARY TOWN",,Tipperary,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2021,"ORCHARD WALLS, WOODHILL PARK, TIVOLI",,Cork,"€831,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2019,"113 KINCORA AVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€732,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2021,"104 KICKHAM RD, INCHICORE, DUBLIN 8",Dublin 8,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2019,"THE COTTAGE, DARTMOUTH LANE, DUBLIN 6",Dublin 6,Dublin,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2010,"Derrinkeher, Ballinamore",,Leitrim,"€52,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"13 ARBUTUS, MONTENOTTE",,Cork,"€720,000.00",No,Yes,New Dwelling house /Apartment,
17/11/2020,"47 The Hazles, Ballinahinch Woods, Ashford",,Wicklow,"€348,017.00",No,Yes,New Dwelling house /Apartment,
19/05/2020,"6 GROTTO TERRACE, KILMUCKRIDGE, WEXFORD",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"207 BLOCK A1, BEACON SOUTH QUARTER, SANDYFORD",Dublin 18,Dublin,"€1,405,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"43 VALLEY VIEW, SWORDS DUBLIN, DUBLIN",,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2018,"127 KILLEEN WOOD, OAKPARK, TRALEE",,Kerry,"€115,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/08/2021,"CLOONDARAH, MOUNT TALBOT, ROSCOMMON",,Roscommon,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"9 The Park, Westfield, Leixlip",,Kildare,"€365,638.00",No,Yes,New Dwelling house /Apartment,
03/11/2014,"11 THE RECTORY, ENNISKERRY RD, STEPASIDE DUBLIN 18",Dublin 18,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2010,"Kilcrone Cottage, Kilcrone, Cloyne",,Cork,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"167A FOXROCK CLOSE, FOXROCK, DUBLIN 18",Dublin 18,Dublin,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2021,"1 SPA TERRACE, MALLOW, CORK",,Cork,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2010,"Wood Road, Ardara",,Donegal,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2016,"13 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",,Galway,"€95,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
18/10/2013,"Cnoc na Carraige, Kilnaseer, Rathdowney",,Laois,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2015,"AISLING, NEWCASTLE, BLARNEY",,Cork,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"GORTEENAMUCK, FOXFORD, MAYO",,Mayo,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2014,"Apt 23 The Oat House, Baker's Yard, Portland Street North",Dublin 1,Dublin,"€163,683.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"59 Seoid Na Tra, Bettystown",,Meath,"€281,938.00",No,Yes,New Dwelling house /Apartment,
14/06/2019,"22 THE COURTYARD, FOTA ISLAND, FOTA",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2021,"30 St. Killian's Glen, Rathdrum",,Wicklow,"€220,220.00",No,Yes,New Dwelling house /Apartment,
10/07/2013,"23  Limeworth, Carriganarra, Carrigrohane",,Cork,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2015,"KINGSTON, SEAMOUNT ROAD, MALAHIDE",Dublin 11,Dublin,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2013,"23 Pococke Upper, Johnswell Road, Kilkenny",,Kilkenny,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2020,"7 CARRIGBROOK, TULLOW ROAD, CARLOW",,Carlow,"€1,102,713.73",Yes,Yes,New Dwelling house /Apartment,
25/05/2016,"5 BALLINTYRE MEADOWS, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,"€75,250.00",Yes,No,Second-Hand Dwelling house /Apartment,
26/11/2021,"ORCHARD VILLE, GORMANSTON, MEATH",,Meath,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2018,"42  The Close, Citywest Village, Citywest",Dublin 24,Dublin,"€279,735.68",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/03/2013,"37  Crannog, Lagore Road, Dunshaughlin",,Meath,"€265,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
27/09/2018,"18 BRIDGE RD, LISTOWEL, KERRY",,Kerry,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2021,"CATHEDRAL ST, BALLAGHADEREEN, ROSCOMMON",,Roscommon,"€78,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"7 CLOONE ROAD, FERRYBANK, WATERFORD",,Kilkenny,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2019,"19 CARYSFORT PARK, BLACKROCK, DUBLIN",,Dublin,"€735,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2018,"17 ASHVILLE CLOSE ESKER LANE LUCAN, DUBLIN",,Dublin,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2017,"20 SHENICK RD, SKERRIES, DUBLIN",,Dublin,"€462,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2018,"APT.9 - RIVERCOURT, THE DOLMEN HOTEL, CARLOW ROAD",,Carlow,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2021,"7  DODDERBROOK DRIVE, OLDCOURT ROAD, BALLYCULLEN",Dublin 24,Dublin,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"4 WOODFIELD MEWS, REAR INCHICORE RD, KILMAINHAIM DUBLIN 8",Dublin 10,Dublin,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2015,"COTTAGE 1, HOLYCROSS, THURLES",,Tipperary,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2013,"Curramore, Lough Mask, Ballinrobe",,Mayo,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2016,"18 BEAUFIELD PK, STILLORGAN, DUBLIN",,Dublin,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"3 PALLISTER HOUSE, KILLALOE, CO CLARE",,Clare,"€49,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2019,"322 CLONTARF ROAD, CLONTARF, DUBLIN 3",,Dublin,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2021,"1 COOLGRANEY AVE, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,"€915,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2016,"21 THE CRESCENT, LARCH HILL, OSCAR TRAYNOR RD DUBLIN 17",Dublin 17,Dublin,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2021,"8 OAKLANDS DALE, LONGFORD, LONGFORD",,Longford,"€95,652.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2019,"LACKAROE, PORTROE, NENAGH",,Tipperary,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2018,"16 DORAN CLOSE, DRUMACRIN ROAD, BUNDORAN",,Donegal,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2012,"Bridge View, Virginia",,Cavan,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"95 The Campion, Marina Village, Greystones",,Wicklow,"€414,096.92",No,Yes,New Dwelling house /Apartment,
15/08/2013,"39 ORLYNN PK, LUSK, DUBLIN",,Dublin,"€90,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"Apartment 7, Hanover Lofts, Hanover Street East",Dublin 2,Dublin,"€365,639.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/05/2021,"33 Grand Canal Wood, Allenwood",,Kildare,"€299,000.00",No,Yes,New Dwelling house /Apartment,
08/12/2017,"41 ADARE AVE, COOLOCK, DUBLIN 17",Dublin 17,Dublin,"€240,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/11/2017,"9 WESTSIDE APTS, MAIN ST, LETTERKENNY",,Donegal,"€41,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/09/2015,"98 BALREAFK VILLAGE, NAVAN, MEATH",,Meath,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2016,"72 MOUNT ALBANY, NEWTOWNPARK AVE, BLACKROCK",,Dublin,"€412,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2013,"85 The Village Green, Royal Meadows, Kilcock",,Kildare,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2018,"CULCLARE, KILMOVEE, MAYO",,Mayo,"€47,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2015,"93 FRIARS GREEN, CARLOW",,Carlow,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2019,"10 WINDMILL ST, LIMERICK, LIMERICK",,Limerick,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2013,"6 the brambles, Kilgobbin road, sandyford",,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2019,"44 CORBALLY HEATH, WESTBROOK GLEN, SAGGART",Dublin 24,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2020,"28 BRADOGUE COURT, ANNAMOE RD, CABRA DUBLIN 7",Dublin 7,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2017,"87 HILL OF DOWN, SPENCER DOCK, DUBLIN 1",Dublin 1,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2015,"45 PRIORY GROVE, STILLORGAN, DUBLIN",,Dublin,"€610,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2016,"63 TONLEGEE RD, COOLOCK, DUBLIN 5",Dublin 5,Dublin,"€321,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2012,"17 Davin Park, Mountmellick",,Laois,"€115,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/12/2014,"83 CARNLOUGH RD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2011,"Apartment 112, Alexandra House, Tallaght Cross",,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2016,"5 OAKLANDS AVE, SWORDS, DUBLIN",,Dublin,"€238,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2017,"34 OAKWAY, GREENPARK, CLONDALKIN",Dublin 22,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/04/2010,"Moyarta East, Carrigholt",,Clare,"€41,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/08/2019,"6 ADARE DR, COOLOCK, DUBLIN 17",Dublin 17,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2019,"LISTILLION, LETTERKENNY, CO DONEGAL",,Donegal,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"22 CARMICHAEL HALL, ST COLUMBANUS RD, DUNDRUM DUBLIN 14",Dublin 14,Dublin,"€274,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2015,"Mellon, Kildimo",,Limerick,"€164,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2012,"5 BRIDGEFIELD, TRAMORE",,Waterford,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2019,"3 CURRAGH DOWNS, BROWNSTOWN, CURRAGH",,Kildare,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2016,"64 BROOKDALE RD, SWORDS, DUBLIN",,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2018,"29 MOUNTROSS, NEW ROSS, WEXFORD",,Wexford,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2010,"BALLYCOMMON, NENAGH",,Tipperary,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
