Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/06/2018,"5 NEWTOWNMORRIS, TUAM, CO GALWAY",,Galway,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2013,"57 Anna Villa, Ranelagh",Dublin 6,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"33 South Beach, Duncannon, New Ross",,Wexford,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2021,"25 CLOONDARA, TRALEE, KERRY",,Kerry,"€140,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/01/2014,"Gort Na Fulla, Castlebar, Co.Mayo",,Mayo,"€64,317.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2013,"31 morrisson house, cork",,Cork,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2019,"BOWENS CROSS, BALLYGARVAN, CORK",,Cork,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2021,"CAVAN HILL, ROSSGIER, LIFFORD",,Donegal,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2017,"48 GRANGE ERIN, DOUGLAS, CORK",,Cork,"€327,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2018,"12 LEINSTER PLACE, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€496,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"163 HAMPTON SQ, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2014,"7 HOGAN SQ, HOGAN PLACE, DUBLIN 2",Dublin 2,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/06/2019,"60 FAHY GARDENS, LOUGHREA, GALWAY",,Galway,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2016,"MARINE VIEW APT, DOCK RD, DUNMORE EAST",,Waterford,"€32,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2012,"Crossanstown, Coralstown, Mullingar",,Westmeath,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2012,"6 Abbey Terrace, Cahir",,Tipperary,"€67,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2019,"136 COILL DUBH, NAAS, KILDARE",,Kildare,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2014,"2 old head holiday cottage, garretstown, kinsale",,Cork,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"6 Belarmine Lawns, Belarmine Woods, STEPASIDE",Dublin 18,Dublin,"€361,233.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/08/2020,"DUTCH COTTAGE, COOLEGARRY, CURRAGHBOY",,Roscommon,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2018,"83 KILWORTH RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,"€271,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2014,"36 Springvale, Sligo Road, Tubbercurry",,Sligo,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2021,"55 MOYNE RD, THURLES, TIPPERARY",,Tipperary,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2019,"143 Carton Wood, Dublin Road, Maynooth",,Kildare,"€414,096.91",No,Yes,New Dwelling house /Apartment,
26/03/2010,"11 B (42) Moore Bay, Kilkee",,Clare,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2015,"GLEANN SCOTIA, BALLARD, TRALEE",,Kerry,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2016,"57 THE STABLES, MILL RACE, MILL RD",,Cork,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2016,"CAHEROYAN, ATHENRY, GALWAY",,Galway,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"4 LOWER WILLIAM ST, NEW ROSS, WEXFORD",,Wexford,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2013,"Carrickasimon, Virginia",,Cavan,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2021,"3 CHIMNEYS COTTAGE, CHAPEL ST, NEWPORT",,Mayo,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"12 CORNMILL ROW HOUSE, DISTILLERY ROW, DUBLIN 9",,Dublin,"€387,224.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
18/05/2015,"23 KILMONEY WOODS, CARRIGALINE",,Cork,"€396,475.77",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
07/12/2018,"40 HANSTED CLOSE, FINNSTOWN, LUCAN",,Dublin,"€237,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2014,"Apt 35 The Oat House, Baker's Yard, Portland Street North",Dublin 1,Dublin,"€163,683.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"30 ULVERTON RD, DALKEY, DUBLIN",,Dublin,"€415,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/04/2014,"15 Priory Street, Clongriffin, Dublin 13",Dublin 13,Dublin,"€239,555.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/07/2019,"36 CLUAN ENDA, DUNDALK, LOUTH",,Louth,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2021,"POULATAR, GOATENBRIDGE, ARDINNNAN",,Tipperary,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2011,"KIllimor, Attymon, Athenry",,Galway,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"21 MILESIAN AVE, SWORDS, DUBLIN",,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"MILL LODGE BLACKHALL, CALVERSTOWN, KILDARE",,Kildare,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2015,"1111 Kilkee Bay, Kilkee",,Clare,"€82,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/10/2017,"32  THE ASHES, ELMFIELD, LEOPARDSTOWN",Dublin 18,Dublin,"€266,346.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/09/2011,"30 St Mary's Drive, Walkinstown",Dublin 12,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2018,"19 CHURCHFIELDS, COOSAN, ATHLONE",,Westmeath,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2019,"BAHANA, RATHDRUM, CO. WICKLOW",,Wicklow,"€50,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/06/2021,"Rosslodge, Headford, GALWAY",,Galway,"€47,000.00",No,Yes,New Dwelling house /Apartment,
27/11/2013,"17 COOPERS CREST, DRUMBERN, MILFORD",,Donegal,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2014,"37 PINEWOOD, KILLARNEY, KERRY",,Kerry,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"17 SURFERS COVE, BUNDORAN, DONEGAL",,Donegal,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"BALLYANNENEEN, GORT, CO GALWAY",,Galway,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2013,"6 Gleann na Riogh Way, Naas",,Kildare,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2019,"199 The Grange, Baunacloka, Raheen",,Limerick,"€242,290.00",No,Yes,New Dwelling house /Apartment,
08/05/2018,"18 BALBRIGGAN RD, SKERRIES, DUBLIN",,Dublin,"€125,357.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2015,"154 Evanwood, Golf Links Road, Castletroy",,Limerick,"€157,268.72",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/06/2020,"2 OWEN GLEN, CLIFDEN, GALWAY",,Galway,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2021,"RIVERSIDE COURT, TIPPERARY TOWN, CO TIPPERARY",,Tipperary,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2017,"19 ABBEY AVE, CORBALLY, LIMERICK",,Limerick,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2020,"7 ROCKFIELD CRESCENT, CHURCH RD, BLACKROCK",,Cork,"€349,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2016,"35 Ferns Green, Ferns Bridge, Monasterevin",,Kildare,"€175,900.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
10/03/2020,"38 The Avenue, St Marnocks Bay, Portmarnock",,Dublin,"€533,039.65",No,Yes,New Dwelling house /Apartment,
28/08/2019,"60 DANESFORT DR, LOUGHREA, GALWAY",,Galway,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/06/2011,"Field Cottage, Bennettsbridge",,Kilkenny,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"2 SWIFTBROOK PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/06/2018,"APT 80  BLOCK D, THE ISLAND, CHAPELIZOD",Dublin 15,Dublin,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"MAIN ST, KILBEGGAN, WESTMEATH",,Westmeath,"€54,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2020,"248B THE RISE, BELGARD HEIGHTS, DUBLIN 24",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2013,"Sallygrove, Ballyhollaghan, Elphin",,Roscommon,"€31,000.00",No,No,Second-Hand Dwelling house /Apartment,
